region_name,region_name_rus,map_region_name,vodka,conyac,whiskey,vine,option_region_name,type,type_eng
ДАГЕСТАН РЕСП,Дагестан республика,Dagestan,65.31,13.31,0.48,4.92,Dagestanskaya A.S.S.R.|Daghestan|Republic of Dagestan|Respublika Dagestan|Dagistan,Respublika,Republic
ЕВРЕЙСКАЯ АОБЛ,Еврейская автономная область,Yevrey,44.25,2.96,0.82,1.32,Den jødiske autonome oblasten|Evrey|Jewish A.Obl.|Yahudi|Yevreyskaya A.Obl.|Evreyskaya AOb,Avtonomnaya Oblast,Autonomous Region
Забайкальский край,Забайкальский край,Zabaikal,40.1,2.13,0.61,0.84,Zabaikalskiy Krai,Oblast,Region
ИВАНОВСКАЯ ОБЛ,Ивановская область,Ivanovo,34.12,4.02,1.38,3.89,Ivanovskaya Oblast,Oblast,Region
ИНГУШЕТИЯ РЕСП,Ингушетия республика,Ingush,82.36,5.88,0.31,0.32,Ingouchie|Inguchétia|Inguschetien|Ingushetia|Ingushetiya|Ingush Republic|Ingushskaya Respublika|Respublika Ingushetiya,Respublika,Republic
ИРКУТСКАЯ ОБЛ,Иркутская область,Irkutsk,39.24,3.5,1.21,2.47,Irkutskaya Oblast,Oblast,Region
КАБАРДИНО-БАЛКАРСКАЯ РЕСП,Кабардино-Балкарская республика,Kabardin-Balkar,35.02,10.43,3.01,1.92,Kabardin A.S.S.R.|Kabardino-Balkarskaya A.S.S.R.|Kabardino-Balkariya|Kabardino-Balkarsk|Kabard|Kabardino-Balkarskaya Republic,Respublika,Republic
КАЛИНИНГРАДСКАЯ ОБЛ,Калининградская область,Kaliningrad,27.67,6.15,2,11.86,Kaliningradskaya Oblast,Oblast,Region
КАЛМЫКИЯ РЕСП,Калмыкия республика,Kalmyk,46.84,4.86,0.99,1.38,Kalmykiya|Khalmg Tangch|Republic of Kalmykia|Kalmytskaya A.S.S.R.|Respublika Kalmykiya,Respublika,Republic
КАЛУЖСКАЯ ОБЛ,Калужская область,Kaluga,34.97,5.26,1.53,5.31,Kaluzhskaya Oblast,Oblast,Region
КАМЧАТСКИЙ КРАЙ,Камчатский край,Kamchatka,40.48,6.51,1.12,3.05,Kamï¿½atka|Kamchatskaya Oblast,Oblast,Region
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП,Карачаево-Черкесская республика,Karachay-Cherkess,34.74,7.28,2.69,1.73,Karaçay-Çerkes|Karachay-Cherkessiya|Karachayevo-Cherkesskaya Respublika|Karachayevo-Cherkessiya|Karachayevo-Cherkess Republic|K,Respublika,Republic
